2013,,,
OF,Carl Yastrzemski,Boston,AL
OF,Juan Beniquez,Texas,AL
OF,Al Cowens,Kansas City,AL
1976,,,AL
P,Jim Palmer,Baltimore,AL
C,Jim Sundberg,Texas,AL
1B,George Scott,Milwaukee,AL
2B,Bobby Grich,Baltimore,AL
3B,Aurelio Rodriguez,Detroit,AL
SS,Mark Belanger,Baltimore,AL
OF,Dwight Evans,Boston,AL
OF,Rick Manning,Cleveland,AL
OF,Joe Rudi,Oakland,AL
1975,,,AL
P,Jim Kaat,Chicago,AL
C,Thurman Munson,New York,AL
1B,George Scott,Milwaukee,AL
2B,Bobby Grich,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Mark Belanger,Baltimore,AL
OF,Fred Lynn,Boston,AL
OF,Paul Blair,Baltimore,AL
OF,Joe Rudi,Oakland,AL
1974,,,AL
P,Jim Kaat,Chicago,AL
C,Thurman Munson,New York,AL
1B,George Scott,Milwaukee,AL
2B,Bobby Grich,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Mark Belanger,Baltimore,AL
OF,Amos Otis,Kansas City,AL
OF,Paul Blair,Baltimore,AL
OF,Joe Rudi,Oakland,AL
1973,,,AL
P,Jim Kaat,Chicago,AL
C,Thurman Munson,New York,AL
1B,George Scott,Milwaukee,AL
2B,Bobby Grich,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Mark Belanger,Baltimore,AL
OF,Amos Otis,Kansas City,AL
OF,Paul Blair,Baltimore,AL
OF,Mickey Stanley,Detroit,AL
1972,,,AL
P,Jim Kaat,Minnesota,AL
C,Carlton Fisk,Boston,AL
1B,George Scott,Milwaukee,AL
2B,Doug Griffin,Boston,AL
3B,Brooks Robinson,Baltimore,AL
SS,Ed Brinkman,Detroit,AL
OF,Ken Berry,California,AL
OF,Paul Blair,Baltimore,AL
OF,Bobby Murcer,New York,AL
1971,,,AL
P,Jim Kaat,Minnesota,AL
C,Ray Fosse,Cleveland,AL
1B,George Scott,Boston,AL
2B,Davey Johnson,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Mark Belanger,Baltimore,AL
OF,Amos Otis,Kansas City,AL
OF,Paul Blair,Baltimore,AL
OF,Carl Yastrzemski,Boston,AL
1970,,,AL
P,Jim Kaat,Minnesota,AL
C,Ray Fosse,Cleveland,AL
1B,Jim Spencer,California,AL
2B,Davey Johnson,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Mark Belanger,Baltimore,AL
OF,Ken Berry,Chicago,AL
OF,Paul Blair,Baltimore,AL
OF,Mickey Stanley,Detroit,AL
1969,,,AL
P,Jim Kaat,Minnesota,AL
C,Bill Freehan,Detroit,AL
1B,Joe Pepitone,New York,AL
2B,Davey Johnson,Baltimore,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
OF,Carl Yastrzemski,Boston,AL
OF,Paul Blair,Baltimore,AL
OF,Mickey Stanley,Detroit,AL
1968,,,AL
P,Jim Kaat,Minnesota,AL
C,Bill Freehan,Detroit,AL
1B,George Scott,Boston,AL
2B,Bobby Knoop,California,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
OF,Carl Yastrzemski,Boston,AL
OF,Reggie Smith,Boston,AL
OF,Mickey Stanley,Detroit,AL
1967,,,AL
P,Jim Kaat,Minnesota,AL
C,Bill Freehan,Detroit,AL
1B,George Scott,Boston,AL
2B,Bobby Knoop,California,AL
3B,Brooks Robinson,Baltimore,AL
SS,Jim Fregosi,California,AL
OF,Carl Yastrzemski,Boston,AL
OF,Paul Blair,Baltimore,AL
OF,Al Kaline,Detroit,AL
1966,,,AL
P,Jim Kaat,Minnesota,AL
C,Bill Freehan,Detroit,AL
1B,Joe Pepitone,New York,AL
2B,Bobby Knoop,California,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
OF,Tommie Agee,Chicago,AL
OF,Tony Oliva,Minnesota,AL
OF,Al Kaline,Detroit,AL
1965,,,AL
P,Jim Kaat,Minnesota,AL
C,Bill Freehan,Detroit,AL
1B,Joe Pepitone,New York,AL
2B,Bobby Richardson,New York,AL
3B,Brooks Robinson,Baltimore,AL
SS,Zoilo Versalles,Minnesota,AL
OF,Tom Tresh,New York,AL
OF,Carl Yastrzemski,Boston,AL
OF,Al Kaline,Detroit,AL
1964,,,AL
P,Jim Kaat,Minnesota,AL
C,Elston Howard,New York,AL
1B,Vic Power,Los Angeles,AL
2B,Bobby Richardson,New York,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Baltimore,AL
OF,Vic Davalillo,Cleveland,AL
OF,Jim Landis,Chicago,AL
OF,Al Kaline,Detroit,AL
1963,,,AL
P,Jim Kaat,Minnesota,AL
C,Elston Howard,New York,AL
1B,Vic Power,Minnesota,AL
2B,Bobby Richardson,New York,AL
3B,Brooks Robinson,Baltimore,AL
SS,Zoilo Versalles,Minnesota,AL
OF,Carl Yastrzemski,Boston,AL
OF,Jim Landis,Chicago,AL
OF,Al Kaline,Detroit,AL
1962,,,AL
P,Jim Kaat,Minnesota,AL
C,Earl Battey,Minnesota,AL
1B,Vic Power,Minnesota,AL
2B,Bobby Richardson,New York,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
OF,Mickey Mantle,New York,AL
OF,Jim Landis,Chicago,AL
OF,Al Kaline,Detroit,AL
1961,,,AL
P,Frank Lary,Minnesota,AL
C,Earl Battey,Minnesota,AL
1B,Vic Power,Minnesota,AL
2B,Bobby Richardson,New York,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
OF,Jim Piersall,Cleveland,AL
OF,Jim Landis,Chicago,AL
OF,Al Kaline,Detroit,AL
1960,,,AL
P,Bobby Shantz,New York,AL
C,Earl Battey,Minnesota,AL
1B,Vic Power,Minnesota,AL
2B,Nellie Fox,Chicago,AL
3B,Brooks Robinson,Baltimore,AL
SS,Luis Aparicio,Chicago,AL
LF,Minnie Minoso,Minnesota,AL
CF,Jim Landis,Chicago,AL
RF,Roger Maris,New York,AL
1959,,,AL
P,Bobby Shantz,New York,AL
C,Sherm Lollar,Chicago,AL
1B,Vic Power,Minnesota,AL
2B,Nellie Fox,Chicago,AL
3B,Frank Malzone,Boston,AL
SS,Luis Aparicio,Chicago,AL
LF,Minnie Minoso,Minnesota,AL
CF,Al Kaline,Detroit,AL
RF,Jackie Jensen,Boston,AL
1958,,,AL
P,Bobby Shantz,New York,AL
C,Sherm Lollar,Chicago,AL
1B,Vic Power,Minnesota,AL
2B,Frank Bolling,Detroit,AL
3B,Frank Malzone,Boston,AL
SS,Luis Aparicio,Chicago,AL
LF,Norm Siebern,New York,AL
CF,Jim Piersall,Boston,AL
RF,Al Kaline,Detroit,AL
2013,,,NL
P,Adam Wainwright ,St. Louis ,NL
C,Yadier Molina,St. Louis,NL
1B,Paul Goldschmidt,Arizona,NL
2B,Brandon Phillips,Cincinnati,NL
3B,Nolan Arenado,Colorado,NL
SS,Andrelton Simmons,Atlanta,NL
LF,Carlos Gonzalez,Colorado,NL
CF,Carlos Gomez,Milwaukee,NL
RF,Gerardo Parra,Arizona,NL
2012,,,NL
P,Mark Buehrle,Miami,NL
C,Yadier Molina,St. Louis,NL
1B,Adam LaRoche,Washington,NL
2B,Darwin Barney,Chicago,NL
3B,Chase Headley,San Diego,NL
SS,Jimmy Rollins,Philadelphia,NL
LF,Carlos Gonzalez,Colorado,NL
CF,Andrew McCutchen,Pittsburgh,NL
RF,Jason Heyward,Atlanta,NL
2011,,,NL
P,Clayton Kershaw,Los Angeles,NL
C,Yadier Molina,St. Louis,NL
1B,Joey Votto,Cincinnati,NL
2B,Brandon Phillips,Cincinnati,NL
3B,Placido Polanco,Philadelphia,NL
SS,Troy Tulowitzki,Colorado,NL
LF,Gerardo Parra,Arizona,NL
CF,Matt Kemp,Los Angeles,NL
RF,Andre Ethier,Los Angeles,NL
2010,,,NL
P,Bronson Arroyo,Cincinnati,NL
C,Yadier Molina,St. Louis,NL
1B,Albert Pujols,St. Louis,NL
2B,Brandon Phillips,Cincinnati,NL
3B,Scott Rolen,Cincinnati,NL
SS,Troy Tulowitzki,Colorado,NL
OF,Michael Bourn,Houston,NL
OF,Carlos Gonzalez,Colorado,NL
OF,Shane Victorino,Philadelphia,NL
2009,,,NL
P,Adam Wainwright,St. Louis,NL
C,Yadier Molina,St. Louis,NL
1B,Adrian Gonzalez,San Diego,NL
2B,Orlando Hudson,Los Angeles,NL
3B,Ryan Zimmerman,Washington,NL
SS,Jimmy Rollins,Philadelphia,NL
OF,Michael Bourn,Houston,NL
OF,Matt Kemp,Los Angeles,NL
OF,Shane Victorino,Philadelphia,NL
2008,,,NL
P,Greg Maddux,Los Angeles,NL
C,Yadier Molina,St. Louis,NL
1B,Adrian Gonzalez,San Diego,NL
2B,Brandon Phillips,Cincinnati,NL
3B,David Wright,New York,NL
SS,Jimmy Rollins,Philadelphia,NL
OF,Carlos Beltran,New York,NL
OF,Nate McLouth,Pittsburgh,NL
OF,Shane Victorino,Philadelphia,NL
2007,,,NL
P,Greg Maddux,San Diego,NL
C,Russell Martin,Los Angeles,NL
1B,Derrek Lee,Chicago,NL
2B,Orlando Hudson,Arizona,NL
3B,David Wright,New York,NL
SS,Jimmy Rollins,Philadelphia,NL
OF,Carlos Beltran,New York,NL
OF,Aaron Rowand,Philadelphia,NL
OF,Andruw Jones,Atlanta,NL
OF,Jeff Francoeur,Atlanta,NL
2006,,,NL
P,Greg Maddux,Los Angeles,NL
C,Brad Ausmus,Houston,NL
1B,Albert Pujols,St. Louis,NL
2B,Orlando Hudson,Arizona,NL
3B,Scott Rolen,St. Louis,NL
SS,Omar Vizquel,San Francisco,NL
OF,Carlos Beltran,New York,NL
OF,Mike Cameron,San Diego,NL
OF,Andruw Jones,Atlanta,NL
2005,,,NL
P,Greg Maddux,Chicago,NL
C,Mike Matheny,San Francisco,NL
1B,Derrek Lee,Chicago,NL
2B,Luis Castillo,Florida,NL
3B,Mike Lowell,Florida,NL
SS,Omar Vizquel,San Francisco,NL
OF,Andruw Jones,Atlanta,NL
OF,Jim Edmonds,St. Louis,NL
OF,Bobby Abreu,Philadelphia,NL
2004,,,NL
P,Greg Maddux,Chicago,NL
C,Mike Matheny,St. Louis,NL
1B,Todd Helton,Colorado,NL
2B,Luis Castillo,Florida,NL
3B,Scott Rolen,St. Louis,NL
SS,Cesar Izturis,Los Angeles,NL
OF,Jim Edmonds,St. Louis,NL
OF,Steve Finley,Los Angeles,NL
OF,Andruw Jones,Atlanta,NL
2003,,,NL
P,Mike Hampton,Atlanta,NL
C,Mike Matheny,St. Louis,NL
1B,Derrek Lee,Florida,NL
2B,Luis Castillo,Florida,NL
3B,Scott Rolen,St. Louis,NL
SS,Edgar Renteria,St. Louis,NL
OF,Jim Edmonds,St. Louis,NL
OF,Andruw Jones,Atlanta,NL
OF,Jose Cruz Jr.,San Francisco,NL
2002,,,NL
P,Greg Maddux,Atlanta,NL
C,Brad Ausmus,Houston,NL
1B,Todd Helton,Colorado,NL
2B,Fernando Vina,St. Louis,NL
3B,Scott Rolen,St. Louis,NL
SS,Edgar Renteria,St. Louis,NL
OF,Jim Edmonds,St. Louis,NL
OF,Andruw Jones,Atlanta,NL
OF,Larry Walker,Colorado,NL
2001,,,NL
P,Greg Maddux,Atlanta,NL
C,Brad Ausmus,Houston,NL
1B,Todd Helton,Colorado,NL
2B,Fernando Vina,St. Louis,NL
3B,Scott Rolen,Philadelphia,NL
SS,Orlando Cabrera,Montreal,NL
OF,Jim Edmonds,St. Louis,NL
OF,Andruw Jones,Atlanta,NL
OF,Larry Walker,Colorado,NL
2000,,,NL
P,Greg Maddux,Atlanta,NL
C,Mike Matheny,St. Louis,NL
1B,J.T. Snow,San Francisco,NL
2B,Pokey Reese,Cincinnati,NL
3B,Scott Rolen,Philadelphia,NL
SS,Neifi Perez,Colorado,NL
OF,Jim Edmonds,St. Louis,NL
OF,Andruw Jones,Atlanta,NL
OF,Steve Finley,Arizona,NL
1999,,,NL
P,Greg Maddux,Atlanta,NL
C,Mike Lieberthal,Philadelphia,NL
1B,J.T. Snow,San Francisco,NL
2B,Pokey Reese,Cincinnati,NL
3B,Robin Ventura,New York,NL
SS,Rey Ordonez,New York,NL
OF,Andruw Jones,Atlanta,NL
OF,Steve Finley,Arizona,NL
OF,Larry Walker,Colorado,NL
1998,,,NL
P,Greg Maddux,Atlanta,NL
C,Charles Johnson,Los Angeles,NL
1B,J.T. Snow,San Francisco,NL
2B,Bret Boone,Cincinnati,NL
3B,Scott Rolen,Philadelphia,NL
SS,Rey Ordonez,New York,NL
OF,Larry Walker,Colorado,NL
OF,Andruw Jones,Atlanta,NL
OF, Barry Bonds,San Francisco,NL
1997,,,NL
P,Greg Maddux,Atlanta,NL
C,Charles Johnson,Florida,NL
1B,J.T. Snow,San Francisco,NL
2B,Craig Biggio,Houston,NL
3B,Ken Caminiti,San Diego,NL
SS,Rey Ordonez,New York,NL
OF,Barry Bonds,San Francisco,NL
OF,Raul Mondesi,Los Angeles,NL
OF,Larry Walker,Colorado,NL
1996,,,NL
P,Greg Maddux,Atlanta,NL
C,Charles Johnson,Florida,NL
1B,Mark Grace,Chicago,NL
2B,Craig Biggio,Houston,NL
3B,Ken Caminiti,San Diego,NL
SS,Barry Larkin,Cincinnati,NL
OF,Barry Bonds,San Francisco,NL
OF,Marquis Grissom,Atlanta,NL
OF,Steve Finley,San Diego,NL
1995,,,NL
P,Greg Maddux,Atlanta,NL
C,Charles Johnson,Florida,NL
1B,Mark Grace,Chicago,NL
2B,Craig Biggio,Houston,NL
3B,Ken Caminiti,San Diego,NL
SS,Barry Larkin,Cincinnati,NL
OF,Steve Finley,San Diego,NL
OF,Marquis Grissom,Atlanta,NL
OF,Raul Mondesi,Los Angeles,NL
1994,,,NL
P,Greg Maddux,Atlanta,NL
C,Tom Pagnozzi,St. Louis,NL
1B,Jeff Bagwell,Houston,NL
2B,Craig Biggio,Houston,NL
3B,Matt Williams,San Francisco,NL
SS,Barry Larkin,Cincinnati,NL
OF,Barry Bonds,San Francisco,NL
OF,Marquis Grissom,Montreal,NL
OF,Darren Lewis,San Francisco,NL
1993,,,NL
P,Greg Maddux,Atlanta,NL
C,Kirt Manwaring,San Francisco,NL
1B,Mark Grace,Chicago,NL
2B,Robby Thompson,San Francisco,NL
3B,Matt Williams,San Francisco,NL
SS,Jay Bell,Pittsburgh,NL
OF,Barry Bonds,San Francisco,NL
OF,Marquis Grissom,Montreal,NL
OF,Larry Walker,Montreal,NL
1992,,,NL
P,Greg Maddux,Chicago,NL
C,Tom Pagnozzi,St. Louis,NL
1B,Mark Grace,Chicago,NL
2B,Jose Lind,Pittsburgh,NL
3B,Terry Pendleton,Atlanta,NL
SS,Ozzie Smith,St. Louis,NL
OF,Andy Van Slyke,Pittsburgh,NL
OF,Barry Bonds,Pittsburgh,NL
OF,Larry Walker,Montreal,NL
1991,,,NL
P,Greg Maddux,Chicago,NL
C,Tom Pagnozzi,St. Louis,NL
1B,Will Clark,San Francisco,NL
2B,Ryne Sandberg,Chicago,NL
3B,Matt Williams,San Francisco,NL
